,Yearmonth,Yearmonth_LE,continentExp,continentExp_LE,countriesAndTerritories,countriesAndTerritories_LE,cases,deaths,geoId,countryterritoryCode,popData2019,14_days_1000,case/population%,deaths/population%,kmeans_cluster,predict LR
62,202010,2,Asia,2,Afghanistan,0,129,3,AF,AFG,38041757.0,1.81116766,0.0,0.0,2,435.054882788529
63,202010,2,Asia,2,Afghanistan,0,96,4,AF,AFG,38041757.0,1.50361089,0.0,0.0,2,430.5327665876301
64,202010,2,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,1.25125661,0.0,0.0,2,353.4495882048546
65,202010,2,Asia,2,Afghanistan,0,10,1,AF,AFG,38041757.0,1.34326078,0.0,0.0,2,433.31617653914327
66,202010,2,Asia,2,Afghanistan,0,77,2,AF,AFG,38041757.0,1.33274601,0.0,0.0,2,433.5035106420238
67,202010,2,Asia,2,Afghanistan,0,68,1,AF,AFG,38041757.0,1.1723959,0.0,0.0,2,429.2001081030324
68,202010,2,Asia,2,Afghanistan,0,62,2,AF,AFG,38041757.0,1.05936222,0.0,0.0,2,427.69037230557717
69,202010,2,Asia,2,Afghanistan,0,145,5,AF,AFG,38041757.0,1.08302043,0.0,0.0,2,418.21394509331105
70,202010,2,Asia,2,Afghanistan,0,44,0,AF,AFG,38041757.0,0.78072104,0.0,0.0,2,355.339281878935
71,202010,2,Asia,2,Afghanistan,0,7,4,AF,AFG,38041757.0,0.66505866,0.0,0.0,2,411.20405795291913
72,202010,2,Asia,2,Afghanistan,0,5,0,AF,AFG,38041757.0,0.97524412,0.0,0.0,2,356.34645940065906
73,202010,2,Asia,2,Afghanistan,0,17,0,AF,AFG,38041757.0,1.08564912,0.0,0.0,2,353.4495882048546
74,202010,2,Asia,2,Afghanistan,0,14,0,AF,AFG,38041757.0,1.04096138,0.0,0.0,2,353.4495882048546
75,20209,12,Asia,2,Afghanistan,0,15,2,AF,AFG,38041757.0,1.04884745,0.0,0.0,2,427.69037230557717
76,20209,12,Asia,2,Afghanistan,0,12,3,AF,AFG,38041757.0,1.11456471,0.0,0.0,2,430.93881435241815
77,20209,12,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,1.34326078,0.0,0.0,2,354.2579870174369
78,20209,12,Asia,2,Afghanistan,0,35,0,AF,AFG,38041757.0,1.54041255,0.0,0.0,2,354.2579870174369
79,20209,12,Asia,2,Afghanistan,0,6,2,AF,AFG,38041757.0,1.54041255,0.0,0.0,2,431.80644074168805
80,20209,12,Asia,2,Afghanistan,0,16,0,AF,AFG,38041757.0,1.61401588,0.0,0.0,2,354.2579870174369
81,20209,12,Asia,2,Afghanistan,0,25,5,AF,AFG,38041757.0,1.64556017,0.0,0.0,2,425.8463018380341
82,20209,12,Asia,2,Afghanistan,0,71,2,AF,AFG,38041757.0,1.64293148,0.0,0.0,2,431.80644074168805
83,20209,12,Asia,2,Afghanistan,0,30,3,AF,AFG,38041757.0,1.52464041,0.0,0.0,2,435.054882788529
84,20209,12,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,1.69813397,0.0,0.0,2,354.2579870174369
85,20209,12,Asia,2,Afghanistan,0,125,4,AF,AFG,38041757.0,1.89265706,0.0,0.0,2,430.5327665876301
86,20209,12,Asia,2,Afghanistan,0,47,1,AF,AFG,38041757.0,1.61664457,0.0,0.0,2,433.31617653914327
87,20209,12,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,1.53515517,0.0,0.0,2,354.2579870174369
88,20209,12,Asia,2,Afghanistan,0,17,0,AF,AFG,38041757.0,1.65344624,0.0,0.0,2,354.2579870174369
89,20209,12,Asia,2,Afghanistan,0,40,10,AF,AFG,38041757.0,1.70864874,0.0,0.0,2,425.8463018380341
90,20209,12,Asia,2,Afghanistan,0,99,6,AF,AFG,38041757.0,1.62715933,0.0,0.0,2,425.8463018380341
91,20209,12,Asia,2,Afghanistan,0,75,0,AF,AFG,38041757.0,1.45629446,0.0,0.0,2,354.2579870174369
92,20209,12,Asia,2,Afghanistan,0,35,0,AF,AFG,38041757.0,1.3090878000000001,0.0,0.0,2,357.2576238212191
93,20209,12,Asia,2,Afghanistan,0,34,0,AF,AFG,38041757.0,1.22496971,0.0,0.0,2,353.4495882048546
94,20209,12,Asia,2,Afghanistan,0,28,0,AF,AFG,38041757.0,1.16450983,0.0,0.0,2,353.4495882048546
95,20209,12,Asia,2,Afghanistan,0,24,2,AF,AFG,38041757.0,1.09879257,0.0,0.0,2,427.69037230557717
96,20209,12,Asia,2,Afghanistan,0,26,3,AF,AFG,38041757.0,1.18028197,0.0,0.0,2,430.93881435241815
97,20209,12,Asia,2,Afghanistan,0,96,3,AF,AFG,38041757.0,1.11456471,0.0,0.0,2,430.93881435241815
98,20209,12,Asia,2,Afghanistan,0,74,2,AF,AFG,38041757.0,1.04884745,0.0,0.0,2,427.69037230557717
99,20209,12,Asia,2,Afghanistan,0,20,0,AF,AFG,38041757.0,0.85432437,0.0,0.0,2,355.339281878935
100,20209,12,Asia,2,Afghanistan,0,16,0,AF,AFG,38041757.0,1.07776305,0.0,0.0,2,353.4495882048546
101,20209,12,Asia,2,Afghanistan,0,45,1,AF,AFG,38041757.0,1.13559424,0.0,0.0,2,429.2001081030324
102,20209,12,Asia,2,Afghanistan,0,38,3,AF,AFG,38041757.0,1.27228614,0.0,0.0,2,436.7519526888648
103,20209,12,Asia,2,Afghanistan,0,9,0,AF,AFG,38041757.0,1.59298636,0.0,0.0,2,354.2579870174369
104,20209,12,Asia,2,Afghanistan,0,34,4,AF,AFG,38041757.0,1.56932815,0.0,0.0,2,430.5327665876301
105,20208,11,Asia,2,Afghanistan,0,19,0,AF,AFG,38041757.0,1.48783875,0.0,0.0,2,354.2579870174369
106,20208,11,Asia,2,Afghanistan,0,3,0,AF,AFG,38041757.0,1.55618469,0.0,0.0,2,354.2579870174369
107,20208,11,Asia,2,Afghanistan,0,11,1,AF,AFG,38041757.0,1.86374147,0.0,0.0,2,433.31617653914327
108,20208,11,Asia,2,Afghanistan,0,3,0,AF,AFG,38041757.0,1.85322671,0.0,0.0,2,354.2579870174369
109,20208,11,Asia,2,Afghanistan,0,55,4,AF,AFG,38041757.0,2.05300717,0.0,0.0,2,430.5327665876301
110,20208,11,Asia,2,Afghanistan,0,1,0,AF,AFG,38041757.0,2.10820967,0.0,0.0,2,354.2579870174369
111,20208,11,Asia,2,Afghanistan,0,71,10,AF,AFG,38041757.0,2.67074941,0.0,0.0,2,426.9887792093103
112,20208,11,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,2.48411239,0.0,0.0,2,355.13773311016865
113,20208,11,Asia,2,Afghanistan,0,105,2,AF,AFG,38041757.0,2.48411239,0.0,0.0,2,431.6042654374299
114,20208,11,Asia,2,Afghanistan,0,38,0,AF,AFG,38041757.0,2.31061883,0.0,0.0,2,354.2579870174369
115,20208,11,Asia,2,Afghanistan,0,97,2,AF,AFG,38041757.0,2.41576644,0.0,0.0,2,431.6042654374299
116,20208,11,Asia,2,Afghanistan,0,160,8,AF,AFG,38041757.0,2.26855978,0.0,0.0,2,425.8463018380341
117,20208,11,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,2.02409158,0.0,0.0,2,354.2579870174369
